scene,sigma,schedule,mode,psnr,ssim,lpips
bicycle,sigma30,linear,train,25.1902384366686,0.7955404520137478,0.2711802385967864
bicycle,sigma30,linear,test,24.92985247211611,0.7308808468925975,0.29995601177215575
bicycle,sigma30,cosine,train,24.90073419499651,0.7768620826513679,0.29102714139328906
bicycle,sigma30,cosine,test,24.809800559294796,0.7164054616701817,0.3202642238140106
bicycle,sigma30,sqrt,train,24.93385396652295,0.7793929277661784,0.2884289369251601
bicycle,sigma30,sqrt,test,24.810703926440137,0.7188400077275557,0.3164328980445862
bicycle,sigma100,linear,train,23.20664987259938,0.6527854763277245,0.4100459674759024
bicycle,sigma100,linear,test,23.83663040281437,0.6077725492660389,0.4404221224784851
bicycle,sigma100,cosine,train,22.954096937686217,0.6275199667932297,0.43265408824181417
bicycle,sigma100,cosine,test,23.625429976463266,0.5843882893610486,0.462414870262146
bicycle,sigma100,sqrt,train,22.876757414470923,0.6246960526491013,0.43471364800393936
bicycle,sigma100,sqrt,test,23.58935564762403,0.5848279280199105,0.46155848145484923
garden,sigma30,linear,train,29.20048521421097,0.8981198883668664,0.1353066172103704
garden,sigma30,linear,test,27.10896391197714,0.8576163453829441,0.15408069205780825
garden,sigma30,cosine,train,29.029001459248637,0.8920900128392637,0.14586460507064133
garden,sigma30,cosine,test,27.106508036703286,0.8537863603955591,0.1628880649805069
garden,sigma30,sqrt,train,28.983422548862148,0.8920755722941338,0.1453545856642427
garden,sigma30,sqrt,test,27.012806316903077,0.8531923887458067,0.16274750356872877
garden,sigma100,linear,train,27.23878804849691,0.8105019182705326,0.27705395193944066
garden,sigma100,linear,test,26.05284800972285,0.7849243500715515,0.28679422785838443
garden,sigma100,cosine,train,26.750509447703035,0.784899162569476,0.3076481378596762
garden,sigma100,cosine,test,25.739351530584855,0.7623306210570361,0.31569915761550266
garden,sigma100,sqrt,train,26.66073300030465,0.782471727636793,0.31082461950201423
garden,sigma100,sqrt,test,25.625398751236446,0.7597052223534838,0.31886272380749386
stump,sigma30,linear,train,28.17238328261718,0.8204006840451835,0.2796493055076774
stump,sigma30,linear,test,25.964300863753586,0.7286031796325004,0.31786167435348034
stump,sigma30,cosine,train,27.57614151954119,0.7952716546406328,0.3070554254798714
stump,sigma30,cosine,test,25.71805911973906,0.7145980607621542,0.3383835665881634
stump,sigma30,sqrt,train,27.680418210116102,0.7987590750942261,0.30397243059556417
stump,sigma30,sqrt,test,25.765475981142817,0.717985490699862,0.3335065897554159
stump,sigma100,linear,train,24.241660773906656,0.6171323799388136,0.4866736719914533
stump,sigma100,linear,test,23.952415997514365,0.588568591216039,0.48919977992773056
stump,sigma100,cosine,train,23.928085194558946,0.5919200046461149,0.5089394884918808
stump,sigma100,cosine,test,23.704136700879978,0.5660090524697097,0.5137069784104824
stump,sigma100,sqrt,train,23.933067408936623,0.5901496469589588,0.5094659369473064
stump,sigma100,sqrt,test,23.64937695194331,0.5637893806598382,0.5139086451381445
room,sigma30,linear,train,34.62984561647019,0.9543404959843893,0.16298318818649826
room,sigma30,linear,test,31.832140724650245,0.9372607650617959,0.18108605517026705
room,sigma30,cosine,train,34.41533086530102,0.9510521380880296,0.16830516540828874
room,sigma30,cosine,test,31.70294144739598,0.9348930929518531,0.18562994515284514
room,sigma30,sqrt,train,34.23297581767859,0.9500034526133819,0.16923158098121777
room,sigma30,sqrt,test,31.676550462309244,0.9343067178897567,0.1862427259867008
room,sigma100,linear,train,33.3105605374619,0.932868387311739,0.2174148655989591
room,sigma100,linear,test,31.109271878244815,0.9182266951751674,0.22984472643106413
room,sigma100,cosine,train,32.944144875470045,0.9256035740237898,0.230527976199108
room,sigma100,cosine,test,30.788896683462024,0.9110921435626514,0.24286044522737846
room,sigma100,sqrt,train,32.409072224101216,0.9195675001756727,0.23964013904333115
room,sigma100,sqrt,test,30.551906607127233,0.9056732849333747,0.2517655782210521
counter,sigma30,linear,train,30.717380907850924,0.9308889869757396,0.1497460726242495
counter,sigma30,linear,test,29.17399358273334,0.9107040580066581,0.1689275878256765
counter,sigma30,cosine,train,30.56056089244341,0.9279458154341276,0.15464951101496321
counter,sigma30,cosine,test,29.056688424141672,0.908184694768766,0.1733112697457445
counter,sigma30,sqrt,train,30.554670506645486,0.9265844145778094,0.1559992825603598
counter,sigma30,sqrt,test,29.054959966608962,0.9067135083568021,0.1740057324541026
counter,sigma100,linear,train,29.72522701517215,0.9044336701341619,0.1954156495101079
counter,sigma100,linear,test,28.48005077530306,0.8878607877874257,0.21076489419772707
counter,sigma100,cosine,train,29.389714997566774,0.8960560097590661,0.2073951596614874
counter,sigma100,cosine,test,28.155976250363054,0.8805141481971345,0.22119381509978195
counter,sigma100,sqrt,train,29.22546382499313,0.8887258773247937,0.2154525802316259
counter,sigma100,sqrt,test,28.046788643266847,0.8729469613256658,0.22931262850761414
kitchen,sigma30,linear,train,33.11022098319682,0.9589327633176378,0.0804273697898769
kitchen,sigma30,linear,test,31.553998039452733,0.9434463202170065,0.09485294637935503
kitchen,sigma30,cosine,train,32.81872104504012,0.9565816876754079,0.08410455317038004
kitchen,sigma30,cosine,test,31.435243771546148,0.9414099964101209,0.09772961927311762
kitchen,sigma30,sqrt,train,32.76902172720468,0.9557311157139993,0.0850328330836091
kitchen,sigma30,sqrt,test,31.32182696784357,0.9405460890310968,0.09881970190576145
kitchen,sigma100,linear,train,31.17036877114606,0.9393478850046614,0.11350510588495946
kitchen,sigma100,linear,test,30.056519644628036,0.9254802762747626,0.12550212613173894
kitchen,sigma100,cosine,train,30.87380406924514,0.9335873304277803,0.12322344114912338
kitchen,sigma100,cosine,test,29.75279651052298,0.9206166876025875,0.13441930328096663
kitchen,sigma100,sqrt,train,30.51177934780705,0.9271840375485905,0.1301726719944692
kitchen,sigma100,sqrt,test,29.414049152210737,0.913762698978477,0.14120330491236277
